model,accuracy,precision,recall,f1,roc_auc
DecisionTree,0.7961783439490446,0.8666666666666667,0.6,0.7090909090909091,0.8663879598662209
RandomForest,0.8343949044585988,0.8305084745762712,0.7538461538461538,0.7903225806451613,0.8726588628762543
LogisticRegression,0.8152866242038217,0.7647058823529411,0.8,0.7819548872180451,0.8877090301003344
